sku,inRoqResult,isApendSku,inTip,inForecastNational,inVendorData
2263631,Y,N,Y,Y,Y
49257,Y,N,Y,Y,Y
73638,N,N,N,Y,N
130804,N,N,N,Y,N
149859,N,N,N,Y,N
1668832,N,N,N,Y,N
1671117,N,N,N,Y,N
1876435,Y,N,Y,Y,Y
1882221,Y,N,Y,Y,Y
2097466,Y,N,Y,Y,Y
2156668,N,N,N,Y,N
2279563,Y,N,Y,Y,Y
2325958,Y,N,Y,Y,Y
2340816,Y,N,Y,Y,Y
2346171,N,N,N,Y,N
336969,N,N,N,Y,N
359739,Y,N,Y,Y,Y
512161,N,N,N,Y,N
1671118,N,N,N,Y,N
2024133,Y,N,Y,Y,Y
2285350,Y,N,Y,Y,Y
2327010,N,N,N,Y,N
2343166,N,N,N,Y,N
2346172,N,N,N,Y,N
306792,N,N,N,Y,N
316098,N,N,N,Y,N
475614,N,N,N,Y,N
49259,Y,N,Y,Y,Y
659331,N,N,N,Y,N
148195,Y,N,Y,Y,Y
149130,N,N,N,Y,N
1668834,N,N,N,Y,N
1671119,N,N,N,Y,N
1824498,Y,N,Y,Y,Y
2294261,Y,N,Y,Y,Y
2343167,N,N,N,Y,N
2346173,Y,N,Y,Y,Y
2349341,Y,N,Y,Y,Y
354673,N,N,N,Y,N
484363,N,N,N,Y,N
1668835,N,N,N,Y,N
1837512,N,N,N,Y,N
2195523,N,N,N,Y,N
2221541,N,N,N,Y,N
2247273,N,N,N,Y,N
2256958,N,N,N,Y,N
449615,N,N,N,Y,N
115670,N,N,N,Y,N
1668836,N,N,N,Y,N
1772588,Y,N,Y,Y,Y
1886078,Y,N,Y,Y,Y
1903681,Y,N,Y,Y,Y
1961362,N,N,N,Y,N
2132398,Y,N,Y,Y,Y
2179937,N,N,N,Y,N
2221542,N,N,N,Y,N
2261692,N,N,N,N,N
2294263,Y,N,Y,Y,Y
2333412,Y,N,Y,Y,Y
327288,N,N,N,Y,N
438762,N,N,N,Y,N
554592,N,N,N,Y,N
598963,N,N,N,Y,N
81049,N,N,N,Y,N
1668837,N,N,N,Y,N
1961363,N,N,N,Y,N
2146916,Y,N,Y,Y,Y
2253836,Y,N,Y,Y,Y
350328,N,N,N,Y,N
357349,Y,N,Y,Y,Y
504642,Y,N,Y,Y,Y
643404,Y,N,Y,Y,Y
101523,Y,N,Y,Y,Y
129370,N,N,N,Y,N
2179939,N,N,N,Y,N
2285850,Y,N,Y,Y,Y
2319780,Y,N,Y,Y,Y
2343828,Y,N,Y,Y,Y
350329,N,N,N,Y,N
483476,Y,N,Y,Y,Y
512167,N,N,N,Y,N
598965,N,N,N,Y,N
125474,N,N,N,Y,N
1890742,Y,N,Y,Y,Y
2112186,Y,N,Y,Y,Y
2112681,N,N,N,Y,N
2148871,Y,N,Y,Y,Y
2165016,N,N,N,Y,N
2192359,Y,N,Y,Y,Y
2349184,Y,N,Y,Y,Y
316030,N,N,N,Y,N
484368,N,N,N,Y,N
540897,Y,N,Y,Y,Y
598966,N,N,N,Y,N
1961979,N,N,N,Y,N
2003034,Y,N,Y,Y,Y
2112682,N,N,N,Y,N
2188689,Y,N,Y,Y,Y
2195528,N,N,N,Y,N
2295653,Y,N,Y,Y,Y
2330248,Y,N,Y,Y,Y
2346836,Y,N,Y,Y,Y
2349347,Y,N,Y,Y,Y
2351731,Y,N,Y,Y,Y
306799,N,N,N,Y,N
125476,N,N,N,Y,N
1779702,N,N,N,Y,N
2156441,Y,N,Y,Y,Y
2165018,N,N,N,Y,N
2294763,Y,N,Y,Y,Y
2351732,Y,N,Y,Y,Y
344879,Y,N,Y,Y,Y
438767,N,N,N,Y,N
54990,Y,N,Y,Y,Y
147400,Y,N,Y,Y,Y
1672189,Y,N,Y,Y,Y
2149765,Y,N,Y,Y,Y
2165019,N,N,N,Y,N
2309370,Y,N,Y,Y,Y
2345334,Y,N,Y,Y,Y
310192,Y,N,Y,Y,Y
316033,N,N,N,Y,N
343871,N,N,N,Y,N
360629,Y,N,Y,Y,Y
602990,N,N,N,Y,N
653994,N,N,N,Y,N
151479,Y,N,Y,Y,Y
2113125,N,N,N,Y,N
2120253,Y,N,Y,Y,Y
2184839,Y,N,Y,Y,Y
2201172,Y,N,Y,Y,Y
2342662,Y,N,Y,Y,Y
2349070,Y,N,Y,Y,Y
358010,N,N,N,Y,N
360512,Y,N,Y,Y,Y
452736,Y,N,Y,Y,Y
602991,N,N,N,Y,N
2062600,Y,N,Y,Y,Y
2102272,Y,N,Y,Y,Y
2228291,Y,N,Y,Y,Y
2260402,Y,N,Y,Y,Y
2300849,Y,N,Y,Y,Y
2329587,N,N,N,Y,N
2346678,Y,N,Y,Y,Y
318312,N,N,N,Y,N
327178,N,N,N,Y,N
48143,N,N,N,Y,N
2118528,Y,N,Y,Y,Y
2165968,N,N,N,Y,N
2239759,N,N,N,Y,N
2349234,N,N,N,Y,N
316036,N,N,N,Y,N
602993,N,N,N,Y,N
111665,Y,N,Y,Y,Y
2315160,N,N,N,Y,N
2347291,Y,N,Y,Y,Y
602994,N,N,N,Y,N
658830,N,N,N,Y,N
103647,N,N,N,Y,N
1936596,Y,N,Y,Y,Y
2120257,N,N,N,Y,N
2273050,Y,N,Y,Y,Y
2315161,N,N,N,Y,N
2322000,Y,N,Y,Y,Y
364864,N,N,N,Y,N
37292,Y,N,Y,Y,Y
454855,Y,N,Y,Y,Y
515677,N,N,N,Y,N
555376,N,N,N,Y,N
125860,N,N,N,Y,N
13299,Y,N,Y,Y,Y
1804836,Y,N,Y,Y,Y
2102276,N,N,N,Y,N
2120258,N,N,N,Y,N
2191854,N,N,N,Y,N
2317890,N,N,N,Y,N
2324685,N,N,N,Y,N
2350073,Y,N,Y,Y,Y
304951,N,N,N,Y,N
316039,N,N,N,Y,N
399551,N,N,N,Y,N
515678,Y,N,Y,Y,Y
532651,N,N,N,Y,N
78702,Y,N,Y,Y,Y
125861,N,N,N,Y,N
1822495,Y,N,Y,Y,Y
1911801,N,N,N,Y,N
1917887,N,N,N,Y,N
1925004,Y,N,Y,Y,Y
2017849,N,N,N,Y,N
2191855,N,N,N,Y,N
2234857,Y,N,Y,Y,Y
2335260,Y,N,Y,Y,Y
2348680,Y,N,Y,Y,Y
532652,N,N,N,Y,N
568185,N,N,N,Y,N
125862,N,N,N,Y,N
156156,N,N,N,Y,N
160160,N,N,N,Y,N
1804838,Y,N,Y,Y,Y
2055316,Y,N,Y,Y,Y
2160616,N,N,N,N,N
2208695,N,N,N,Y,N
2234858,Y,N,Y,Y,Y
2273053,Y,N,Y,Y,Y
2344784,Y,N,Y,Y,Y
532653,N,N,N,Y,N
557656,Y,N,Y,Y,Y
77156,N,N,N,Y,N
125863,N,N,N,Y,N
2169591,Y,N,Y,Y,Y
2184611,N,N,N,Y,N
2234859,Y,N,Y,Y,Y
2240807,N,N,N,Y,N
77157,N,N,N,Y,N
1842757,N,N,N,Y,N
